molecule	source	gene	start	end	direction	genome
MW686208_Circovirus_gloton	cpgplot	CpG	1159	1280	0	1967
MW686208_Circovirus_gloton	Geneious	rep	236	1126	1	1967
KP793918_Circovirus_zebrafinch	Geneious	cap	1240	1779	-1	1982
KP793918_Circovirus_zebrafinch	cpgplot	CpG	329	447	0	1982
KP793918_Circovirus_zebrafinch	cpgplot	CpG	914	1075	0	1982
KP793918_Circovirus_zebrafinch	cpgplot	CpG	1090	1204	0	1982
KP793918_Circovirus_zebrafinch	cpgplot	CpG	1376	1560	0	1982
KP793918_Circovirus_zebrafinch	cpgplot	CpG	1831	1949	0	1982
KP793918_Circovirus_zebrafinch	Geneious	rep	36	911	1	1982
MN164703_Circovirus_penguin	Geneious	cap	1143	1868	-1	1988
MN164703_Circovirus_penguin	cpgplot	CpG	485	618	0	1988
MN164703_Circovirus_penguin	cpgplot	CpG	1008	1103	0	1988
MN164703_Circovirus_penguin	cpgplot	CpG	1846	1931	0	1988
MN164703_Circovirus_penguin	Geneious	rep	93	962	1	1988
AF071878_Circovirus_parrot	Geneious	cap	1239	1973	-1	1993
AF071878_Circovirus_parrot	cpgplot	CpG	56	172	0	1993
AF071878_Circovirus_parrot	cpgplot	CpG	1029	1128	0	1993
AF071878_Circovirus_parrot	Geneious	rep	137	1006	1	1993
AY228555_Circovirus_duck	Geneious	cap	1167	1940	-1	1996
AY228555_Circovirus_duck	cpgplot	CpG	363	515	0	1996
AY228555_Circovirus_duck	cpgplot	CpG	1850	1962	0	1996
AY228555_Circovirus_duck	Geneious	rep	56	934	1	1996
KT869077_Circovirus_porcine3	Geneious	cap	1343	1987	-1	2000
KT869077_Circovirus_porcine3	cpgplot	CpG	1213	1308	0	2000
KT869077_Circovirus_porcine3	Geneious	rep	223	1113	1	2000
ON677309_Circovirus_human	Geneious	cap	1368	2012	-1	2021
ON677309_Circovirus_human	cpgplot	CpG	1196	1334	0	2021
ON677309_Circovirus_human	Geneious	rep	154	1134	1	2021
DQ845074_Circovirus_gull	Geneious	cap	1197	1994	-1	2035
DQ845074_Circovirus_gull	cpgplot	CpG	48	190	0	2035
DQ845074_Circovirus_gull	cpgplot	CpG	1043	1157	0	2035
DQ845074_Circovirus_gull	cpgplot	CpG	1899	1979	0	2035
DQ845074_Circovirus_gull	Geneious	rep	107	1024	1	2035
AF252610_Circovirus_pigeon	Geneious	cap	1173	1994	-1	2037
AF252610_Circovirus_pigeon	cpgplot	CpG	25	161	0	2037
AF252610_Circovirus_pigeon	cpgplot	CpG	1024	1130	0	2037
AF252610_Circovirus_pigeon	cpgplot	CpG	1893	2004	0	2037
AF252610_Circovirus_pigeon	Geneious	rep	48	1001	1	2037
MN371255_Circovirus_bear	Geneious	cap	1250	2029	-1	2054
MN371255_Circovirus_bear	Geneious	rep	37	55	1	2054
MN371255_Circovirus_bear	Geneious	rep	206	369	1	2054
MN371255_Circovirus_bear	Geneious	rep	498	1190	1	2054
DQ172906_Circovirus_starling	Geneious	cap	1197	2027	-1	2063
DQ172906_Circovirus_starling	cpgplot	CpG	1016	1128	0	2063
DQ172906_Circovirus_starling	cpgplot	CpG	1915	2004	0	2063
DQ172906_Circovirus_starling	Geneious	rep	44	913	1	2063
KC241982_Circovirus_canine	Geneious	cap	1168	1980	-1	2063
KC241982_Circovirus_canine	cpgplot	CpG	230	323	0	2063
KC241982_Circovirus_canine	cpgplot	CpG	515	597	0	2063
KC241982_Circovirus_canine	cpgplot	CpG	972	1083	0	2063
KC241982_Circovirus_canine	cpgplot	CpG	1916	2030	0	2063
KC241982_Circovirus_canine	Geneious	rep	53	964	1	2063
MN928506_Circovirus_pipistrello	Geneious	cap	1141	1989	-1	2063
MN928506_Circovirus_pipistrello	cpgplot	CpG	207	292	0	2063
MN928506_Circovirus_pipistrello	cpgplot	CpG	1452	1613	0	2063
MN928506_Circovirus_pipistrello	Geneious	rep	54	974	1	2063
KJ641711_Circovirus_morcego	Geneious	cap	1424	2047	-1	2069
KJ641711_Circovirus_morcego	cpgplot	CpG	567	699	0	2069
KJ641711_Circovirus_morcego	cpgplot	CpG	1260	1374	0	2069
KJ641711_Circovirus_morcego	cpgplot	CpG	1761	1880	0	2069
KJ641711_Circovirus_morcego	cpgplot	CpG	1932	2035	0	2069
KJ641711_Circovirus_morcego	Geneious	rep	250	1164	1	2069
OM869597_Circovirus_hirat	Geneious	cap	1199	2065	-1	2076
OM869597_Circovirus_hirat	cpgplot	CpG	175	373	0	2076
OM869597_Circovirus_hirat	cpgplot	CpG	494	598	0	2076
OM869597_Circovirus_hirat	cpgplot	CpG	964	1068	0	2076
OM869597_Circovirus_hirat	cpgplot	CpG	1922	2010	0	2076
OM869597_Circovirus_hirat	Geneious	rep	49	951	1	2076
LC416389_Circovirus_civet	Geneious	cap	1280	2056	-1	2077
LC416389_Circovirus_civet	Geneious	rep	39	61	1	2077
LC416389_Circovirus_civet	Geneious	rep	213	383	1	2077
LC416389_Circovirus_civet	Geneious	rep	517	1219	1	2077
OQ599924_Circovirus_ban	Geneious	cap	1181	1996	-1	2079
OQ599924_Circovirus_ban	cpgplot	CpG	963	1068	0	2079
OQ599924_Circovirus_ban	cpgplot	CpG	1918	2001	0	2079
OQ599924_Circovirus_ban	Geneious	rep	48	953	1	2079
KY370027_Circovirus_gnaver	Geneious	cap	1259	2062	-1	2080
KY370027_Circovirus_gnaver	Geneious	rep	184	434	1	2080
KY370027_Circovirus_gnaver	Geneious	rep	493	1192	1	2080
KJ641727_Circovirus_saguzarra	Geneious	cap	1439	2074	-1	2094
KJ641727_Circovirus_saguzarra	cpgplot	CpG	92	172	0	2094
KJ641727_Circovirus_saguzarra	cpgplot	CpG	1267	1346	0	2094
KJ641727_Circovirus_saguzarra	cpgplot	CpG	1961	2060	0	2094
KJ641727_Circovirus_saguzarra	Geneious	rep	308	1189	1	2094
KJ641716_Circovirus_cia	Geneious	cap	1456	2076	-1	2097
KJ641716_Circovirus_cia	cpgplot	CpG	1241	1337	0	2097
KJ641716_Circovirus_cia	Geneious	rep	297	1193	1	2097
MF497827_Circovirus_gryzon	Geneious	cap	1208	1864	-1	2112
MF497827_Circovirus_gryzon	cpgplot	CpG	996	1151	0	2112
MF497827_Circovirus_gryzon	Geneious	rep	40	942	1	2112
KX756986_Circovirus_ialtag	Geneious	cap	1241	2086	-1	2113
KX756986_Circovirus_ialtag	cpgplot	CpG	45	129	0	2113
KX756986_Circovirus_ialtag	cpgplot	CpG	191	285	0	2113
KX756986_Circovirus_ialtag	cpgplot	CpG	543	622	0	2113
KX756986_Circovirus_ialtag	cpgplot	CpG	992	1078	0	2113
KX756986_Circovirus_ialtag	cpgplot	CpG	1912	2007	0	2113
KX756986_Circovirus_ialtag	Geneious	rep	54	974	1	2113
KY370042_Circovirus_kiore	Geneious	cap	1188	1991	-1	2120
KY370042_Circovirus_kiore	cpgplot	CpG	952	1129	0	2120
KY370042_Circovirus_kiore	Geneious	rep	51	959	1	2120
KY370034_Circovirus_rongeur	Geneious	cap	1199	2005	-1	2134
KY370034_Circovirus_rongeur	cpgplot	CpG	985	1078	0	2134
KY370034_Circovirus_rongeur	cpgplot	CpG	1902	2008	0	2134
KY370034_Circovirus_rongeur	Geneious	rep	55	963	1	2134
KY370039_Circovirus_roditore	Geneious	cap	1210	2010	-1	2136
KY370039_Circovirus_roditore	cpgplot	CpG	1007	1169	0	2136
KY370039_Circovirus_roditore	Geneious	rep	45	953	1	2136
KY370029_Circovirus_rosegador	Geneious	cap	1248	2141	-1	2151
KY370029_Circovirus_rosegador	cpgplot	CpG	25	106	0	2151
KY370029_Circovirus_rosegador	cpgplot	CpG	538	646	0	2151
KY370029_Circovirus_rosegador	cpgplot	CpG	958	1043	0	2151
KY370029_Circovirus_rosegador	cpgplot	CpG	1997	2117	0	2151
KY370029_Circovirus_rosegador	Geneious	rep	38	943	1	2151
MT610106_Circovirus_miztontli	Geneious	cap	1132	2106	-1	2151
MT610106_Circovirus_miztontli	cpgplot	CpG	368	470	0	2151
MT610106_Circovirus_miztontli	cpgplot	CpG	493	586	0	2151
MT610106_Circovirus_miztontli	cpgplot	CpG	1998	2117	0	2151
MT610106_Circovirus_miztontli	Geneious	rep	38	937	1	2151
MT610105_Circovirus_miztli	Geneious	cap	1199	2014	-1	2181
MT610105_Circovirus_miztli	cpgplot	CpG	970	1076	0	2181
MT610105_Circovirus_miztli	Geneious	rep	52	957	1	2181
MH188038_Circovirus_mossi	Geneious	cap	1383	2207	-1	2224
MH188038_Circovirus_mossi	cpgplot	CpG	148	283	0	2224
MH188038_Circovirus_mossi	cpgplot	CpG	1100	1189	0	2224
MH188038_Circovirus_mossi	cpgplot	CpG	1248	1343	0	2224
MH188038_Circovirus_mossi	Geneious	rep	249	1118	1	2224
